Id;Nombre;Fecha de muerte;Fecha de beatificación;Fecha de canonización;Mini biografía;Virtudes centrales;VC Observaciones;Fuente
129;Alfonso Rodríguez;;;;Alonso, nacido en 1533, fue el tercer hijo de la numerosa familia de Diego Rodríguez, un comerciante acomodado de Segovia, España. El Beato Pedro Fabro y otros jesuitas, llegaron a predicar una misión en Segovia y se hospedaron en la casa de Diego.  Al terminar la misión, el huésped les propuso que fuesen a descansar unos días en su casa de campo.  Alonso, que tenía entonces unos diez años, partió con ellos y el Beato Pedro Fabro se encargó de prepararle para la primera comunión.  A los catorce años, Alonso partió con su hermano mayor a estudiar en el colegio de los jesuitas de Alcalá, pero su padre murió menos de un año después y Alonso tuvo que volver, para ayudar a su madre en la administración de los negocios.  Cuando Alonso tenía veintitrés años, su madre se retiró de la administración y le dejó encargado de ella. Tres años más tarde, Alonso contrajo matrimonio con María Suárez. A raíz de una visión de la felicidad del cielo, hizo una confesión general. Desde entonces, empezó a practicar duras mortificaciones y a confesarse y comulgar una vez por semana. El 31 de enero de 1571, el provincial de los jesuitas, desoyendo el parecer de sus subordinados, aceptó a Alonso Rodríguez como hermano lego. Permaneció en Valencia seis meses para terminar el noviciado, y luego fue enviado al colegio de Monte Sión en Palma de Mallorca donde pronto fue nombrado portero.  San Alonso desempeñó ese oficio hasta que la edad y los achaques se lo impidieron.;;;http://www.corazones.org/santos
130;Andrés, Apóstol;;;;"Hermano mayor de San Pedro y, como él, sencillo pescador en el lago de Tiberiades, Andrés es el primer apóstol que sigue a Cristo; lo que lo convierte en un santo de gran devoción en algunos países. Algunos apartes de su vida aparecen descritos en el evangelio de San Lucas y el hecho de los Apóstoles. Su apostolado lo realizaría en Thraina, Scithia, Capadocia, Galacia e Etiopía, llevando el evangelio a los infieles y realizando importante conversiones al mundo católico. Según la tradición, el santo fue atormentado con fuertes azotes y colgado en una cruz con lazos hasta su muerte. La iglesia griega intenta acapararlo y dotarle de un cometido semejante al de Pedro en la iglesia Romana, aunque varios países y regiones de Occidente (Italia, Francia, Escocia) le tributan un culto de igual importancia.";;;G.Suchaux y M. Pastourea, 21 Rivadeneira t3, 507
131;Dimas;;;;Nacido en Egipto, habría comenzado por asesinar a su padre. Robaba en la región que atravesó  la Sagrada Familia durante la Huida a Egipto, pero conmovido por la belleza de la virgen, en vez de atracarla le ofreció su protección. Su nombre deriva del griego “Dyme” (crepúsculo), y es ignorado por el evangelista san Lucas. Aparece más tarde en el Evangelio apócrifo de Nicodemo, y en el Evangelio Árabe de la Infancia. Apresado en Jerusalén en tiempos de Poncio Pilato, fue crucificado a la derecha de Cristo en el Gólgota. Como se había arrepentido, Jesús le prometió que su alma ascendería al Paraíso ese mismo día.;;;Lois Réau Tomo. 2.
132;Camino al calvario (Crucifixión);;;;"Los evangelios ofrecen dos versiones diferentes de El Camino del Calvario. Según los sinópticos (Mateo, 27: 31; Marcos, 15: 21; Lucas 23: 26), un tal Simón de Cirene (África), fue requerido por los soldados romanos para ayudar a Jesús, agotado por la Flagelación, a llevar la cruz hasta la cima del Gólgota. De acuerdo con Juan (19: 16), que desconoce a Simón de Cirene, fue Cristo solo quien llevó la cruz hasta el final. Los exegetas, comenzando por los orígenes, han intentando conciliar la versión de Juan con la de los sinópticos. Jesús habría comenzado por llevar la cruz de la misma manera que Isaac había llevado la madera de su sacrificio. Luego, al verlo en el límite de sus fuerzas, los soldados habrían requerido la ayuda de alguien que pasaba. Jesús y Simón se habrían revelado.";;;Lois Réau Tomo. 3.
133;Judas Tadeo, apóstol;;;;Uno de los doce apóstoles, hermano de Santiago el Menos, motejado Tadeo para diferenciarlo de su homónimo, Judas Iscariote. En los evangelios no tiene papel alguno. Después de la muerte de Jesús habría practicado la doctrina cristiana en Siria y en Mesopotamia, junto a san Simón. Según la leyenda dorada, fue él quien curó la lepra del rey Abgar de Edesa, frotándole el rostro con una carta de Cristo. En el año 70 habría sido ultimado a golpes de maza a los pies de una estatua de Diana.;;;Lois Réau Tomo. 4.
134;Virgen de la Soledad;;;;El tema tiene una ascendencia muy remota, y su gran tradición se sitúa topográficamente en la “Estación de María”, es decir, en una capilla dedicada a la Viren, frente al Calvario, en donde, según refiere Félix Faber en 1480- 1483, la Virgen residió desde el momento en que fue consumada la Pasión, hasta el día de la resurrección de su Hijo. Este monumento debió causar producir honda impresión en el ánimo de los devotos  peregrinos que visitaron los santos lugares. Pues, al parecer, fueron ellos los que transmitieron a Occidente el piadoso recuerdo de la desolación de María.;;;Manuel Trens
135;Catalina de Bolonia;;;;"Nacida en Bolonia en 1413, en principio tomó los hábitos en un convento de agustinas, luego se hizo clarisa en Ferrara. Practicaba la pintura y la música. En su convento  de Bolonia se conserva un violín que habría decorado con pinturas, y que  tocaba maravillosamente sin haber tomado lecciones, y en la Academia de Venecia, un cuadro de su autoría donde está representada santa Úrsula  y sus compañeras. La Virgen se le apareció en Navidad y le impuso en los brazos del Niño Jesús fajado. Por esa razón  se la representa con el Niño en los brazos. Murió en 1463. Su cuerpo momificado, incorruptible, está expuesto a la veneración de los fieles en un relicario de vidrio.

Canonizada en 1729.";;;Lois Réau Tomo. 3.
136;Pedro Ortíz de Zárate;1683;;;Misionero jesuita rioplatense. Pedro Nolano Ortiz de Zárate, su nombre completo, nació en San Salvador de Jujuy. Tras quedar viudo a los 27 años de edad, estudió con los jesuitas en el Nuevo Colegio Máximo (actual Universidad Nacional de Córdoba), antes de ser ordenado sacerdote en Santiago del Estero. Fue párroco de San Salvador de Jujuy durante 24 años hasta que decidió dedicarse a las misiones. Fundó dos reducciones en la región del Chaco: la de San Rafael (de indios ojota y taño) y una segunda cerca de la confluencia de los ríos Grande de Jujuy y Grande de Tarija (en la que logró reunir a indios tobas y mocobíes). Falleció, martirizado por indígenas hostiles, junto a varios compañeros misioneros.;;;www.catolico.com
137;Arcángeles;;;;"En la Jerarquía Celestial del Pseudo-Dionisio, los arcángeles  no ocupan la cima de la jerarquía, sino solamente el penúltimo escalón del Orden inferior. A diferencia de los ángeles, cada uno de los arcángeles lleva un nombre. Sin embargo, la palabra “arcángel” no figura en ninguna parte del Antiguo Testamento. San Pablo habla de  “voz de los arcángeles” en relación con la segunda venida de Cristo. Del mismo modo,  en la Epístola de Judas, el apóstol cita al “arcángel Miguel”. Los padres de la Iglesia y los teólogos de la  Edad Media se han referido  a siete arcángeles. Los más conocidos son Miguel, Gabriel y Rafael. Ejecutan las órdenes de Dios; son también sus mensajeros; son los protectores que defienden el Cielo y la Tierra contra los demonios, función apropiada de manera más específica a Miguel.";;;G.Suchaux y M. Pastourea,
138;Ascensión del Señor;;;;En el Evangelio de Marcos (16,19) tiene en cuenta  la Ascensión  y menciona brevemente el episodio  “Con esto, el Señor Jesús, después de hablarles, fue arrebatado al cielo y se sentó a la diestra de Dios”. Lucas  (24, 51-52) no es mucho más pródigo en detalle “Mientras los bendecía, se separó de ellos y fue arrebatado al cielo. Ellos, después de postrarse ante él, regreso a Jerusalén lleno de gozo”. Una versión legendaria sostuvo desde muy pronto que la Ascensión había tenido lugar en la cima del Huerto  de los Olivos, y que la doble huella de los pies de Jesús había quedado visible en la superficie de la roca.;;;G.Suchaux y M. Pastourea,
139;Agatón;;;;Nació hacia fines del siglo sexto en Sicilia y murió en Roma, en 681. Generalmente se cree que Agatón fue originalmente un monje benedictino de San Erasmo, en Palermo, y hay  evidencia confiable de que tenía más de 100 años de edad cuando ascendió a la silla papal como sucesor del Papa Dono. Poco después de que Agatón fue electo Papa, San Wilfred, Arzobispo de York, quien había sido injustamente, y fuera de todo canon, depuesto de su sede por Teodoro de Canterbury, fue a Roma a invocar la ayuda de la Santa Sede a su favor. En un concilio en el palacio Lateranense para investigar el caso, Wilfred fue ratificado en su sede. El principal evento en el pontificado de Agatón es, sin embargo, el Sexto Concilio Ecuménico llevado a cabo en Constantinopla en 680, el cuál fue presidido por delegados del papa y que prácticamente terminó con la herejía monoteísta. Antes de que los decretos   del concilio llegaran a Roma para su aprobación por el papa, Agatón había muerto. Fue sepultado en San Pedro el 10 de enero de 681. El papa Agatón fue extraordinario en su afabilidad y caridad. Debido a los muchos milagros que hizo, ha sido llamado Taumaturgo o Hacedor de Maravillas. Su memoria se celebra tanto por la iglesia latina como por la griega;;;www.catolico.com
140;Estanislao de Kotska;;;;"Sus padres, Juan Kotska y Margarita Kaiska, lo enviaron desde muy pequeño, y en compañía de su hermano, a realizar sus estudios en una ciudad llamado Pablo (Viena), cabeza de Austria; los cuales se llevaron a cabo bajo la custodia de los misioneros de la Compañía de Jesús. Desde pequeño poseía un gran amor y respeto hacia los distintos preceptos promulgados por la Iglesia Católica. En su adolescencia decide ingresar a la compañía de Jesús, como novicio, y seguir el ejemplo de los religiosos más representativos de la orden. Fue considerado un ferviente devoto de la Virgen María y Santa Bárbara, a quienes invocaba siempre en sus oraciones. En especial sus ruegos estaban dirigidos a  la conversación de su hermano Pablo al cristianismo.  Constantemente y durante su vida religiosa, realiza grandes ayunos, flagelaba su cuerpo y entraba en fuertes crisis. Muere hacia el año de 1568. Algunos de sus escritos fueron publicados años más tarde en Roma, en latín, y su imagen se difundió a lo largo del mundo católico.";;;Rivadeneira t2, 476
141;Julián, Obispo;;;;La vida de Julián, primer obispo de Le Mans, es puramente legendaria. Enviado por el papa Clemente a evangelizar el  país del Maine, Juan realiza numerosos milagros y ocupa durante cuarenta y siete años el trono episcopal. Una tradición tardía asimilada a san Julián con Simón  el leproso, que había recibido a Jesús en su casa de Betania, y a quien los apóstoles habrían confiado más tarde la misión de llevar el Evangelio al país de Mans. El culto de San Julián es muy vivo en la provincia del Maine y en las regiones aledañas. El hecho de que además fuera patrón de los juglares contribuyó a extender este culto por toda la cristiandad.;;;G.Suchaux y M. Pastourea,
