author;activity;bio
John Greenwood;;"Born in Boston in 1727, John Greenwood began his artistic career in 1742 as an apprentice to Thomas Johnston, who taught him to engrave bookplates and heraldic devices. He began painting portraits by 1747. The approximately fifty paintings that he made in the Boston area during the next five years represent formally posed sitters in attitudes and settings reminiscent of the work of English painter John Smibert, who had settled in Boston in 1730. The colors of some of Greenwood's portraits suggest that he also knew the work of Robert Feke. Greenwood's later work has not been fully studied. He left Boston in 1752 for the Dutch colony of Surinam, in South America, where he painted 115 portraits of residents and of the New England sea captains who visited the port. He recorded these in a memorandum book (New-York Historical Society). None of his work from these years is located today (1993), with the exception of Sea Captains Carousing at Surinam (c. 1758; The Saint Louis Art Museum), which reveals in its lampooning content the direct influence of William Hogarth's engraving, A Midnight Modern Conversation. In 1758 Greenwood went to Amsterdam, where he worked as a portrait painter and engraver for five years and also became an auctioneer and dealer. In the 1760's he settled in London, where he became a member of the Society of Artists of Great Britain and exhibited at the members' annual exhibition from 1764 to 1776. In 1770, realizing that he would not return to America, he commissioned John Singleton Copley to paint a portrait of his mother, Mrs. Humphrey Devereux (National Gallery of Art, Wellington, New Zealand), one of Copley's most sympathetic portraits. Greenwood became a successful dealer and auctioneer and spent the rest of his life in London. He died in Margate, England, in 1792."
John Heaton;;
John Hesselius;;1728-1778
John Hoppner;;
John Izard Middleton;;
John James Audubon;;
John James Crawley;;
John Johnston;;John Johnston was born in Boston c. 1753, the son of engraver and decorative painter Thomas Johnston (c. 1708-1767). Of four brothers who became painters, John Johnston was the most talented. He was apprenticed after his father's death to coach and heraldic painter John Gore. In 1773 he joined his brother-in-law Daniel Rea, Jr. in the painting firm of Johnston and Rea, a continuation of his father's business. Account books of the firm (Baker Library, Harvard University Business School) indicate that much of his work was decorating clock faces, furniture, fire buckets, coaches, and other objects. Johnston served in the continental army during the Revolutionary War, was severely wounded at the battle of Long Island in 1776, and was imprisoned by the British for about a year. On his return to Boston, he continued the partnership with Daniel Rea until 1787, when he established himself as a portrait painter. By 1795 Johnston was renting John Smibert's former painting studio. He was one of the few portrait painters in Boston before Gilbert Stuart's arrival in 1805, and is listed as a portrait painter in Boston city directories through 1808. His compositions derive from an already well-established tradition of Massachusetts colonial portraiture, primarily the work of John Singleton Copley. Johnston died in Boston in 1818.
John Lewis Krimmel;;"John Lewis Krimmel immigrated to the United States only a year before composing this scene of the market stalls of Philadelphia. With its fascinating contrasts of race, social and economic class, age, and character, Pepper-Pot reveals the artist's delight in his new environment and captures Philadelphia's unique charms. This is the first oil painted by one of the earliest American genre painters and it is equally exceptional for its depiction of a freed person of color at work in the city. Placed at the center of this composition, the soup vendor, known through many early nineteenth-century accounts of Philadelphia, would bellow to passersby, ""Pepper pot, smoking hot!"""
John Miers;;
John Neagle;;John Neagle was born November 4, 1796, while his parents--Irish-born Maurice Nagle and Susannah Taylor, the daughter of a New Jersey farmer--were visiting Boston from their home in Philadelphia. He was baptized as a Roman Catholic, attended grammar school in Philadelphia, and briefly studied art with the drawing master and artist Pietro Ancora. He worked in his step-father Lawrence Ennis's grocery and liquor store until the age of fifteen, when he was apprenticed to a local coach decorator named Thomas Wilson. When Wilson began to take painting lessons from Bass Otis, Neagle was impressed with the likenesses he saw in that artist's studio, and resolved to become a portraitist himself. He studied with Otis for about two months and embarked on a rigorous independent study of art. By 1815 he had begun to paint small oil sketches that he sold for five dollars apiece. It was around this time that the aspiring artist resolved to change the spelling of his name from Nagle to Neagle, after seeing an illustration in Joel Barlow's Columbiad (Philadelphia, 1807) that had been engraved by James Neagle (c. 1769-1822). Neagle was further inspired when Otis introduced him to Thomas Sully, who soon became his mentor. Tired from the drudgery of decorating coaches and encouraged by the successful results of his early efforts, Neagle left Wilson and set up a modest practice. In 1818 he sought greater professional opportunities in Lexington, Kentucky, but was frustrated by the presence there of Matthew Harris Jouett. He proceeded to New Orleans, where prospects for a portraitist were equally bleak, and immediately returned to Philadelphia, where he remained for the rest of his life. Neagle began to exhibit at the Pennsylvania Academy of the Fine Arts in 1821, and his earliest portraits of Indians, actors, and clergymen contain the distinguishing characteristic of his mature style: they are forceful, penetrating likenesses that capture the essence of his sitters' personalities. He excelled in portraits of men, but his images of women were often of remarkably inferior quality. Perhaps as a reaction to detail-oriented coach decoration, Neagle was predisposed to learn the painterly British style of Joshua Reynolds, Henry Raeburn, and Thomas Lawrence that he absorbed through Sully's tutelage. In the summer of 1825 he returned to the city of his birth, where he studied with Gilbert Stuart and met Washington Allston. Stuart's influence on Neagle's development was decisive, and reinforced his penchant for the loose, abbreviated British style. On 29 May 1826 he married Sully's step-daughter Mary Chester Sully, and departed immediately for New York City. There he executed portraits of noted actors and actresses that later appeared as engraved illustrations in a series of books titled The Acting American Theatre. Thereafter followed a period of intense artistic activity during which his artistic style matured rapidly. In 1827 Neagle painted the portrait that earned him a national reputation and for which he is best remembered today, the full-length Pat Lyon at the Forge (Museum of Fine Arts, Boston). He painted a second version of it in 1829 (Pennsylvania Academy of the Fine Arts, Philadelphia). The culminating accomplishment of this period, the Grand Manner portrait Dr. William Potts Dewees (1833, University of Pennsylvania School of Medicine, Philadelphia), demonstrates how well Neagle mastered the British style without ever having studied in England. Throughout his long career Neagle painted Philadelphia's prominent doctors, lawyers, businessmen, and clergymen of various denominations. His portraits are often remarkable for the iconographic devices he used to explicate his subjects' professions or important experiences in their lives. Self-educated and conversant on a wide variety of intellectual pursuits, he moved freely in the city's elite social circles. An active and sometimes outspoken exponent of artists' rights who spared no efforts to promote the
John Paradise;;
John Ramage;;
John Ritto Penniman;;
John Roberts;;
John Robinson;;
John Rose;;
John Rubens Smith;;
John Russell;;
John S. Blunt;;
John Shackleton;;
John Singleton Copley;;1738-1815John Singleton Copley was born in Boston in 1738, and grew up there, training in the visual arts under his step-father Peter Pelham (c. 1697-1751), an English engraver who had immigrated in 1727 and married Copley's widowed mother in 1748. Copley's earliest paintings, from the mid-1750s, reveal the influence of English mezzotint portraits as well as the work of local and itinerant artists. He experimented with many media: oil on canvas, miniatures on copper or ivory, pastel, and printmaking. By the late 1750s he was established as a portrait painter. Copley worked in Boston until 1774 with the exception of a six month painting trip to New York City in 1771. By the mid-1760s he wanted to compare his works with those by contemporaries in England, and in 1765 he sent a portrait of his half-brother Henry Pelham, Boy with a Squirrel, to the annual exhibition of the Society of Artists of Great Britain. Encouraged by Benjamin West and Joshua Reynolds, Copley left Boston for study in Europe. He left for London in 1774 and went almost immediately to Italy, where he spent more than a year, studying and painting. He returned to London in 1775, settling there with his wife and three of his children, who had come from Boston. 1776 marked the beginning of the second half of Copley's career. As his first work at the Royal Academy he exhibited The Copley Family, painted in 1777, followed byWatson and the Shark the next year. The success of these paintings brought him the praise of reviewers and earned him full membership in the academy. His ambition was to paint large history paintings of contemporary events, like those of Benjamin West, and he exhibited independently, charging admission, The Death of the Earl of Chatham (Tate Gallery), The Death of Major Pierson (Tate Gallery), and the Siege of Gibraltar (Guildhall Art Gallery, London). He also continued to paint portraits, many on a much larger scale than his American work. Copley died in London in 1815.
John Smart;;
John Smibert;;1688-1751Born in Edinburgh, John Smibert worked as a craftsman and copyist in London before traveling to Italy to develop his artistic skills. In 1729 he arrived in Boston to join the philosopher George Berkeley in establishing a university in Bermuda. When these plans dissolved, Smibert established a painting room, an artist’s supply shop, and a gallery that displayed his copies after important European paintings. Even after his death, his studio remained and nurtured American artists from Robert Feke, John Singleton Copley, and Charles Willson Peale to John Trumbull and Washington Allston. The artist’s second recorded composition made in Boston, this portrait of the widowed Catherine Page Brinley Lyde (1663–1755) is typical of his earliest American works.
John Stevens Cogdell;;
John Trumbull;;"1756-1843John Trumbull is known for his portraits and history paintings of the leaders and events of the American Revolution. Born in 1756 in Lebanon, Connecticut, he graduated from Harvard College in 1773 and served with the Connecticut First Regiment in the early months of the revolution. He began his painting career in 1777. He went to England to study briefly with Benjamin West in 1780, returning in 1784 for a longer period. The critical era of his life, and that of his finest work, was from 1784 to 1794. In March 1785 he wrote to his father, Jonathan Trumbull, Sr., that ""the great object of my wishes...is to take up the History of Our Country, and paint the principal Events particularly of the late War."" (Connecticut Historical Society, quoted in Cooper 1982, 7) Influenced by the work of West and Copley, he completed his first history painting, The Death of General Warren at the Battle of Bunker's Hill (Yale University Art Gallery), in March 1786. He began the composition of The Declaration of Independence (Yale University Art Gallery) while visiting Thomas Jefferson in Paris that July. There he also visited private paintings collections and met Jacques-Louis David and Jean-Antoine Houdon, travelling to Germany and the Low Countries before going back to London.Trumbull returned to the United States in the fall of 1789. For the next four years he travelled along the East coast, painting the portraits he needed for his history paintings. His small oil portraits, his oil sketches for these history paintings, and his life portraits, especially the full-lengths of the 1790's, were influenced by his work with West and his knowledge of French painting. His friendships with Jefferson, John Adams and other political leaders gave him distinct advantages.In 1794, after the death of his cousin Harriet Wadsworth (1769- 1793), whom he wished to marry, he accepted an offer from John Jay to serve as secretary with the Jay Treaty Commission in London. He resumed his painting career in England in 1800, the year he married Sarah Hope Harvey. He returned to the United States in 1804, planning to settle in Boston. When he learned that Gilbert Stuart intended to move there from Washington, he went instead to New York, thinking that ""Boston...did by no means offer an adequate field of success for two rival artists"" (Autobiography, 1841, quoted in Cooper 1982, 13). His portraits from this period were influential on the work of younger American artists. He was elected to the board of directors of the New York Academy of the Fine Arts (later the American Academy of the Fine Arts). However the economic consequences of the Embargo Act of 1807, restricting foreign trade, cut short his success. He left in 1808 for Connecticut, and then for a sketching trip through New York State and eastern Canada. He had been blinded in one eye in a childhood accident, and returned to England with is wife in 1809 for treatment of his failing eyesight. Some observers, including contemporaries, attribute Trumbull's particular success with small-scale paintings to this lack of full eyesight.Trumbull and his wife returned to America at the end of the War of 1812. In 1817 he received a commission for four large history paintings for the rotunda of the United States Capitol in Washington. That same year he was elected President of the American Academy of the Fine Arts, which under his strict guidance came in the 1820's to represent an older, more traditional group of artists. He completed the Capitol pictures in 1824. When he failed to receive further federal commissions, he turned again to portraiture. In difficult financial straits, he offered his painting collection to Yale College in return for an annuity. The offer was accepted in 1831 and the Trumbull Gallery opened the following year. His autobiography, written after he retired from the presidency of the academy in 1836, recalls his long career. He died in New York at the age of eighty-seven in 1843."
